BSK5,Fosfat,Nitrat,month,Latitude,Longitude,Observed_Dissolved_Oxygen,Predicted_Dissolved_Oxygen,Residual,Post_Name,Indicator,Model
4.0,0.07,13.6,6,47.470472,29.35975,5.0,9.369800000000003,-4.369800000000003,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
3.4,0.79,53.9,2,46.296167,29.014361,12.1,8.751800000000005,3.348199999999995,"р. Когільник, 131 км, с. Серпневе, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
19.0,1.1,2.1,2,46.501222,29.169611,0.5999999999999999,3.1195000000000017,-2.5195000000000016,"р. Чага, 66 км, с. Петровка, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
3.21,0.077,1.9,12,51.437225,27.897381,0.0,1.7277999999999998,-1.7277999999999998,"р. Уборть, 120 км, с. Рудня Хочинська, кордон з Білоруссю",Dissolved oxygen / Kisen,Random Forest
3.09,0.14,2.97,2,47.729492,33.245658,11.84,9.897600000000006,1.942399999999994,"р. Інгулець, 0 км, м. Інгулець, м. Інгулець",Dissolved oxygen / Kisen,Random Forest
9.7,0.44,1.19,6,48.738889,29.089167,6.4,4.481800000000002,1.9181999999999988,"р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин",Dissolved oxygen / Kisen,Random Forest
2.51,0.077,3.92,2,50.082869,27.488553,8.81,12.931799999999996,-4.121799999999995,"р. Хомора, 52 км, м. Полонне, питний в/з міста",Dissolved oxygen / Kisen,Random Forest
3.31,0.1189999999999999,4.18,2,50.574561,27.650556,14.24,11.791500000000001,2.4484999999999992,"р. Случ, 203 км, м. Новоград-Волинський, питний в/з",Dissolved oxygen / Kisen,Random Forest
6.2,0.5999999999999999,1.2,6,49.4,31.236,8.3,5.537099999999998,2.762900000000003,"р. Рось, 64 км,  м.Корсунь-Шевченківський, питний в/з                                               ",Dissolved oxygen / Kisen,Random Forest
19.0,1.1,2.1,2,46.501222,29.169611,0.5999999999999999,3.1195000000000017,-2.5195000000000016,"р. Чага, 66 км, с. Петровка, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
80.0,1.2,193.0,4,49.071306,24.342306,8.0,6.376800000000002,1.623199999999998,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",Dissolved oxygen / Kisen,Random Forest
10.0,0.043,0.11,7,48.738889,29.089167,14.4,5.653800000000002,8.746199999999998,"р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин",Dissolved oxygen / Kisen,Random Forest
6.2,0.5999999999999999,1.2,6,49.4,31.236,8.3,5.537099999999998,2.762900000000003,"р. Рось, 64 км,  м.Корсунь-Шевченківський, питний в/з                                               ",Dissolved oxygen / Kisen,Random Forest
3.31,0.1189999999999999,4.18,2,50.574561,27.650556,14.24,11.791500000000001,2.4484999999999992,"р. Случ, 203 км, м. Новоград-Волинський, питний в/з",Dissolved oxygen / Kisen,Random Forest
8.6,0.2099999999999999,0.55,7,49.673178,26.825783,2.24,4.296900000000005,-2.056900000000005,"р. Случ, 406 км, с.Чернелівка, Красилівського р-ну, питний в/з м. Хмельницький",Dissolved oxygen / Kisen,Random Forest
2.4,0.52,1.46,2,51.654039,34.029519,7.4,9.162799999999994,-1.7627999999999933,"р. Клевень, 72 км, с.Заруцьке, кордон з Росією",Dissolved oxygen / Kisen,Random Forest
2.51,0.077,3.92,2,50.082869,27.488553,8.81,12.931799999999996,-4.121799999999995,"р. Хомора, 52 км, м. Полонне, питний в/з міста",Dissolved oxygen / Kisen,Random Forest
4.0,0.07,13.6,6,47.470472,29.35975,5.0,9.369800000000003,-4.369800000000003,"р. Ягорлик, 20,2 км, с. Артирівка, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
10.0,0.043,0.11,7,48.738889,29.089167,14.4,5.653800000000002,8.746199999999998,"р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин",Dissolved oxygen / Kisen,Random Forest
11.2,0.094,0.22,7,49.421111,28.3825,8.0,4.608500000000004,3.391499999999996,"р. Південний Буг, 607 км, с. Гущинці, нижче села , питний водозабір м.Калинівка",Dissolved oxygen / Kisen,Random Forest
3.3,0.3599999999999999,2.0,7,46.54675,30.000028,10.6,8.559199999999992,2.040800000000008,"р. Турунчук, 47 км, с. Троїцьке, кордон з Республікою Молдова",Dissolved oxygen / Kisen,Random Forest
11.2,0.094,0.22,7,49.421111,28.3825,8.0,4.608500000000004,3.391499999999996,"р. Південний Буг, 607 км, с. Гущинці, нижче села , питний водозабір м.Калинівка",Dissolved oxygen / Kisen,Random Forest
80.0,1.2,193.0,4,49.071306,24.342306,8.0,6.376800000000002,1.623199999999998,"р.Кропивник, 12 км, с. Мостище, автодорожний міст, вплив Домбровського карєру",Dissolved oxygen / Kisen,Random Forest
3.4,0.128,1.35,2,51.829736,26.149092,13.6,9.477500000000006,4.122499999999993,"р. Стир, 48 км, смт. Зарічне, кордон з Білоруссю",Dissolved oxygen / Kisen,Random Forest
6.2,0.5999999999999999,1.2,6,49.4,31.236,8.3,5.537099999999998,2.762900000000003,"р. Рось, 64 км,  м.Корсунь-Шевченківський, питний в/з                                               ",Dissolved oxygen / Kisen,Random Forest
3.1,0.52,2.0,12,49.34,23.561972,7.9,10.062999999999995,-2.162999999999995,"р. Солониця, 0 км, с. Раневичі, вплив ПрАТ Стебницьке ГХП “Полімінерал”",Dissolved oxygen / Kisen,Random Forest
3.1,0.52,2.0,12,49.34,23.561972,7.9,10.062999999999995,-2.162999999999995,"р. Солониця, 0 км, с. Раневичі, вплив ПрАТ Стебницьке ГХП “Полімінерал”",Dissolved oxygen / Kisen,Random Forest
3.4,0.128,1.35,2,51.829736,26.149092,13.6,9.477500000000006,4.122499999999993,"р. Стир, 48 км, смт. Зарічне, кордон з Білоруссю",Dissolved oxygen / Kisen,Random Forest
4.72,0.521,0.34,8,47.703761,32.376436,12.8,10.66009999999999,2.1399000000000115,"р. Інгул, 163 км, смт. Новий Буг, Софіівське вдсх., питний в/з селища",Dissolved oxygen / Kisen,Random Forest
2.5,0.02,1.45,3,49.673178,26.825783,7.61,9.452600000000007,-1.8426000000000071,"р. Случ, 406 км, с.Чернелівка, Красилівського р-ну, питний в/з м. Хмельницький",Dissolved oxygen / Kisen,Random Forest
3.1,0.52,2.0,12,49.34,23.561972,7.9,10.062999999999995,-2.162999999999995,"р. Солониця, 0 км, с. Раневичі, вплив ПрАТ Стебницьке ГХП “Полімінерал”",Dissolved oxygen / Kisen,Random Forest
3.3,0.3599999999999999,2.0,7,46.54675,30.000028,10.6,8.559199999999992,2.040800000000008,"р. Турунчук, 47 км, с. Троїцьке, кордон з Республікою Молдова",Dissolved oxygen / Kisen,Random Forest
3.09,0.14,2.97,2,47.729492,33.245658,11.84,9.897600000000006,1.942399999999994,"р. Інгулець, 0 км, м. Інгулець, м. Інгулець",Dissolved oxygen / Kisen,Random Forest
2.3,0.37,33.6,2,46.397639,29.510778,12.1,10.286399999999999,1.813600000000001,"р. Сарата, 94 км, с. Міняйлівка, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
9.7,0.44,1.19,6,48.738889,29.089167,6.4,4.481800000000002,1.9181999999999988,"р. Південний Буг, 413 км, с. Маньківка, вище села, питний в/з м.Ладижин",Dissolved oxygen / Kisen,Random Forest
3.4,0.79,53.9,2,46.296167,29.014361,12.1,8.751800000000005,3.348199999999995,"р. Когільник, 131 км, с. Серпневе, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
2.3,0.37,33.6,2,46.397639,29.510778,12.1,10.286399999999999,1.813600000000001,"р. Сарата, 94 км, с. Міняйлівка, кордон з Молдовою",Dissolved oxygen / Kisen,Random Forest
